Episode 100	Average Score: 0.78
Episode 200	Average Score: 3.99
Episode 300	Average Score: 7.79
Episode 400	Average Score: 9.75
Episode 500	Average Score: 12.77
Episode 600	Average Score: 13.32
Episode 700	Average Score: 14.02
Episode 800	Average Score: 14.79
Episode 900	Average Score: 15.44
Episode 1000	Average Score: 15.53
Episode 1100	Average Score: 16.45
Episode 1200	Average Score: 15.57
Episode 1300	Average Score: 15.67
Episode 1400	Average Score: 15.61
Episode 1500	Average Score: 15.50
Episode 1600	Average Score: 16.84
Episode 1700	Average Score: 16.00
Episode 1800	Average Score: 15.82
Episode 1900	Average Score: 15.44
Episode 2000	Average Score: 16.28


4039.9947323799133
